编号,片段名,文本,语言,中文,answer,selected_model,available_models,source_text_check,target_language_check
50317,电视剧2 EP12,The forger of the letters incriminating my father for treason...,英语,伪造父亲通敌卖国书信的人,The person who forged my father's treasonous letters.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",伪造父亲通敌卖国书信的人,英语
50318,电视剧2 EP12,ialah ayah Xing?,马来语,难道会是六娘的父亲,Adakah dia mungkin ayah Cik Xing?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",难道会是六娘的父亲,马来语
50319,电视剧2 EP12,Could it be Xing's father?,英语,难道会是六娘的父亲,Could it be Xing's father?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",难道会是六娘的父亲,英语
50320,电视剧2 EP12,Mengapa dia belum sampai?,马来语,怎么还不来啊,Mengapa masih belum datang?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",怎么还不来啊,马来语
50321,电视剧2 EP12,Why isn't he here yet?,英语,怎么还不来啊,Why aren't they here yet?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",怎么还不来啊,英语
50322,电视剧2 EP12,Abang Bermuka Hantu. Akhirnya awak sampai.,马来语,鬼面兄你终于来了,"Abang Bermuka Hantu, akhirnya awak datang.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",鬼面兄你终于来了,马来语
50323,电视剧2 EP12,"Maskman, You're finally here.",英语,鬼面兄你终于来了,"Lord Ghost, you've finally arrived!",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",鬼面兄你终于来了,英语
50324,电视剧2 EP12,Awak datang melawat mak awak lagi?,马来语,你又来看你母亲,Awak datang lagi untuk jumpa mak awak.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你又来看你母亲,马来语
50325,电视剧2 EP12,Are you here to see your mother?,英语,你又来看你母亲,You're here to see your mother again.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你又来看你母亲,英语
50326,电视剧2 EP12,Saya tunggu awak.,马来语,我是来等你的,Saya datang untuk menunggu awak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我是来等你的,马来语
50327,电视剧2 EP12,I'm here for you.,英语,我是来等你的,I'm here to wait for you.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我是来等你的,英语
50328,电视剧2 EP12,Saya ketahui resipi yang boleh hilangkan tanda lahir.,马来语,我打听到一个能祛除胎记的江湖偏方,Saya dapat tahu satu petua tradisional untuk menghapuskan tanda lahir.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我打听到一个能祛除胎记的江湖偏方,马来语
50329,电视剧2 EP12,I found out about a folk remedy that can remove birthmarks.,英语,我打听到一个能祛除胎记的江湖偏方,I've heard of a folk remedy that can remove birthmarks.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我打听到一个能祛除胎记的江湖偏方,英语
50330,电视剧2 EP12,"Jika awak sapukan ini pada tanda lahir awak, ia boleh diringankan dan dihapuskan.",马来语,说是拿这个在胎记上来回擦拭便能淡化和消除,"Dengarnya, jika ini disapu berulang kali pada tanda lahir, ia boleh memudarkan dan menghilangkannya.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",说是拿这个在胎记上来回擦拭便能淡化和消除,马来语
50331,电视剧2 EP12,"It's said that by using this to rub on the birthmark back and forth, it can lighten and eliminate it.",英语,说是拿这个在胎记上来回擦拭便能淡化和消除,It's said that rubbing this back and forth on the birthmark can lighten and remove it.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",说是拿这个在胎记上来回擦拭便能淡化和消除,英语
50332,电视剧2 EP12,Awak hantar ini untuk saya secara khas?,马来语,你是特意来送我这个的,Awak datang khas untuk hantarkan ini kepada saya?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你是特意来送我这个的,马来语
50333,电视剧2 EP12,You specifically came to give me this?,英语,你是特意来送我这个的,Did you come here specifically to give me this?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你是特意来送我这个的,英语
50334,电视剧2 EP12,Jika saya tak datang hari ini...,马来语,那若我今日不来,Macam mana jika saya tak datang hari ini?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那若我今日不来,马来语
50335,电视剧2 EP12,Then if I don't show up today...,英语,那若我今日不来,What if I didn't come today?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那若我今日不来,英语
50336,电视剧2 EP12,Saya akan datang lagi esok.,马来语,那我便明日再来了,"Kalau begitu, saya akan datang esok.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那我便明日再来了,马来语
50337,电视剧2 EP12,I'll just come tomorrow.,英语,那我便明日再来了,Then I'll come back tomorrow.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那我便明日再来了,英语
50338,电视剧2 EP12,"Apa-apa pun, saya temani mak saya.",马来语,反正我多来陪陪我娘,"Lagipun, saya akan lebih kerap datang menemani mak saya.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",反正我多来陪陪我娘,马来语
50339,电视剧2 EP12,"Anyway, I'll come to keep my mother company.",英语,反正我多来陪陪我娘,I'll just come and spend more time with my mom.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",反正我多来陪陪我娘,英语
50340,电视剧2 EP12,Dia memang gembira.,马来语,她高兴还来不及呢,Dia teramat gembira.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她高兴还来不及呢,马来语
50341,电视剧2 EP12,She'll be happy to see me.,英语,她高兴还来不及呢,She couldn't be happier.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她高兴还来不及呢,英语
50342,电视剧2 EP12,Sapu pada tanda lahir awak.,马来语,来回在胎记上擦拭,Lap secara berulang-ulang pada tanda lahir.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",来回在胎记上擦拭,马来语
50343,电视剧2 EP12,Rub back and forth on the birthmark.,英语,来回在胎记上擦拭,Rub it back and forth over the birthmark.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",来回在胎记上擦拭,英语
50344,电视剧2 EP12,Tak boleh terlalu ringan dan tak boleh terlalu kuat.,马来语,这样不能太轻也不能太用力,Tak boleh terlalu ringan mahupun terlalu kuat.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这样不能太轻也不能太用力,马来语
50345,电视剧2 EP12,"It shouldn't be too gentle, or overly firm.",英语,这样不能太轻也不能太用力,It can't be too light or too forceful.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这样不能太轻也不能太用力,英语
50346,电视剧2 EP12,"Apa-apa pun, awak perlu terus melakukan ia baru akan berkesan.",马来语,总之你一定要坚持才会有效果,"Pendek kata, awak mesti terus berusaha barulah akan nampak kesannya.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",总之你一定要坚持才会有效果,马来语
50347,电视剧2 EP12,"Anyway, you must persist for it to be effective.",英语,总之你一定要坚持才会有效果,"In short, you have to stick with it to see results.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",总之你一定要坚持才会有效果,英语
50348,电视剧2 EP12,Kita tak berkaitan pun. Mengapa awak beri saya benda yang begitu berharga?,马来语,你我非亲非故你为什么要送我这么贵重的东西,"Kita bukan saudara atau kenalan rapat, mengapa awak beri saya hadiah yang begitu berharga?",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你我非亲非故你为什么要送我这么贵重的东西,马来语
50349,电视剧2 EP12,"We are not related by blood, so why would you give me such a valuable thing?",英语,你我非亲非故你为什么要送我这么贵重的东西,"We're not related, why are you giving me such a valuable gift?",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你我非亲非故你为什么要送我这么贵重的东西,英语
50350,电视剧2 EP12,Tak berharga pun.,马来语,不贵重不贵重,"Tak mahal, tak mahal.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",不贵重不贵重,马来语
50351,电视剧2 EP12,It's alright.,英语,不贵重不贵重,It's nothing valuable.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",不贵重不贵重,英语
50352,电视剧2 EP12,Saya ada banyak emas.,马来语,我陆垂垂最不缺的就是金子,"Saya, Lu Chuichui, paling tidak kekurangan emas.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我陆垂垂最不缺的就是金子,马来语
50353,电视剧2 EP12,"I, Lu Chuichui, have plenty of gold.",英语,我陆垂垂最不缺的就是金子,"If there's one thing I, Lu Chuichui, don't lack, it's gold.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我陆垂垂最不缺的就是金子,英语
50354,电视剧2 EP12,"Jika tanda lahir awak dihilangkan, awak boleh menanggalkan topeng muka awak dan menghadapi dunia ini dengan yakin.",马来语,只要你的胎记能治好今后你能够摘下面具坦坦荡荡的去面对这个世界,"Asalkan tanda lahir awak boleh disembuhkan, awak boleh menanggalkan topeng dan menghadapi dunia ini dengan berani pada masa hadapan.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",只要你的胎记能治好今后你能够摘下面具坦坦荡荡的去面对这个世界,马来语
50355,电视剧2 EP12,"As long as your birthmark can be removed, in the future, you will be able to take off the mask and face the world with honesty.",英语,只要你的胎记能治好今后你能够摘下面具坦坦荡荡的去面对这个世界,"As long as your birthmark can be cured, you'll be able to take off your mask and face the world with confidence.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",只要你的胎记能治好今后你能够摘下面具坦坦荡荡的去面对这个世界,英语
50356,电视剧2 EP12,Hal ini tak dapat ditukarkan dengan mana-mana emas.,马来语,那可是多少金子都换不回来的,Itu adalah sesuatu yang tak boleh ditukar dengan sebanyak mana emas sekali pun.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那可是多少金子都换不回来的,马来语
50357,电视剧2 EP12,That is worth more than any amount of gold.,英语,那可是多少金子都换不回来的,That's something no amount of gold can buy back.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那可是多少金子都换不回来的,英语
50358,电视剧2 EP12,"Saya tak bersalah, tuan.",马来语,冤枉啊 大人,"Saya tak bersalah, tuan.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",冤枉啊 大人,马来语
50359,电视剧2 EP12,"I seek justice, my lord.",英语,冤枉啊 大人,"I've been wronged, My Lord",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",冤枉啊 大人,英语
50360,电视剧2 EP12,Saya ingin minta tuan,马来语,小女子有冤,Hamba dianiaya.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",小女子有冤,马来语
50361,电视剧2 EP12,I come to plead my case.,英语,小女子有冤,This humble woman has been wronged.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",小女子有冤,英语
50362,电视剧2 EP12,menegakkan keadilan untuk saya.,马来语,求大人做主,"Tuan, tolong tegakkan keadilan.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",求大人做主,马来语
50363,电视剧2 EP12,I implore my lord to intervene.,英语,求大人做主,"Please, My Lord, grant me justice.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",求大人做主,英语
50364,电视剧2 EP12,Ini kali pertama ada orang merayu kepada saya.,马来语,喊冤喊到我的头上还真是头一遭,Ini kali pertama ada orang datang merayu kepada saya.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",喊冤喊到我的头上还真是头一遭,马来语
50365,电视剧2 EP12,"To have someone appeal to me for justice, this is truly unprecedented.",英语,喊冤喊到我的头上还真是头一遭,To have someone cry injustice right to my face is truly a first.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",喊冤喊到我的头上还真是头一遭,英语
50366,电视剧2 EP12,Apakah kesusahan awak?,马来语,你有何冤屈啊,Apakah ketidakadilan yang awak alami?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你有何冤屈啊,马来语
50367,电视剧2 EP12,What injustice are you seeking to rectify?,英语,你有何冤屈啊,What's your grievance?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你有何冤屈啊,英语
50368,电视剧2 EP12,"Pada tahun itu, ramai orang mati dengan penyesalan dalam kasus Bengkel Jinxiu.",马来语,当年锦绣坊一案含冤而死之人众多,"Pada masa itu, ramai orang yang mati kerana dianiaya dalam kes Bengkel Jinxiu.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",当年锦绣坊一案含冤而死之人众多,马来语
50369,电视剧2 EP12,"In the case of Jinxiu Workshop years ago, many died by injustice.",英语,当年锦绣坊一案含冤而死之人众多,"Back then, many innocent people died unjustly in the Jinxiu Workshop case.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",当年锦绣坊一案含冤而死之人众多,英语
50370,电视剧2 EP12,Mohon tuan menyiasat betul-betul.,马来语,请大人明察,"Tuanku, tolong siasat baik-baik.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",请大人明察,马来语
50371,电视剧2 EP12,"My lord, please investigate thoroughly.",英语,请大人明察,"Please investigate thoroughly, My Lord.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",请大人明察,英语
50372,电视剧2 EP12,Dengarnya awak dipanggil Utusan Hantu Putih yang bersikap tegak dan hanya menangkap hantu jahat. Awak takkan abaikan kesusahan rakyat.,马来语,云雀听说您号称白无常为人正直专抓恶鬼不会放任百姓有冤不管,"Burung Lark, kononnya awak digelar Utusan Hantu Putih yang jujur, khusus menangkap hantu jahat dan tak akan biarkan rakyat menderita tanpa keadilan.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",云雀听说您号称白无常为人正直专抓恶鬼不会放任百姓有冤不管,马来语
50373,电视剧2 EP12,"I heard that you are known as White Death, an honorable man who catches evil doers, and you won't ignore the injustice.",英语,云雀听说您号称白无常为人正直专抓恶鬼不会放任百姓有冤不管,"Lark, I've heard you're known as the White Death—upright and just, specializing in catching evil spirits, never turning a blind eye to the people's grievances.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",云雀听说您号称白无常为人正直专抓恶鬼不会放任百姓有冤不管,英语
50374,电视剧3 EP12,Beta bergurau sahaja.,马来语,我跟你开玩笑的,Saya cuma bergurau dengan awak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我跟你开玩笑的,马来语
50375,电视剧3 EP12,Jangan menganiayai orang lain kali.,马来语,下次别害人了,Lain kali jangan menyusahkan orang.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",下次别害人了,马来语
50376,电视剧3 EP13,Dia dah ada buah hati lain.,马来语,她心里有男人,Dia ada lelaki dalam hatinya.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她心里有男人,马来语
50377,电视剧3 EP13,Dia dah ada buah hati lain.,马来语,她心里有别的男人,Dia ada lelaki lain dalam hatinya.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她心里有别的男人,马来语
50378,电视剧3 EP13,Apa masalahnya jika dia ada beberapa buah hati?,马来语,喜欢几个男人嘛有什么大不了,Bukannya perkara besar pun kalau suka beberapa orang lelaki.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",喜欢几个男人嘛有什么大不了,马来语
50379,电视剧3 EP13,Dengar sini. Lelaki perlu bermurah hati.,马来语,我跟你讲男人呢要大度,"Dengar sini, lelaki harus berjiwa besar.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我跟你讲男人呢要大度,马来语
50380,电视剧3 EP13,Awak mahu maharaja manjakan awak sahaja?,马来语,还想独占圣宠啊,Masih mahu membolot kasih sayang Tuanku?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",还想独占圣宠啊,马来语
50381,电视剧3 EP13,Mengapa pula awak menangis?,马来语,你哭什么呀,Kenapa awak menangis?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你哭什么呀,马来语
50382,电视剧3 EP13,Jangan biar dia masuk.,马来语,不许让她进来,Jangan benarkan dia masuk.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",不许让她进来,马来语
50383,电视剧3 EP13,Saya ingin bercakap dengan dia.,马来语,我有话跟他说,Saya ada sesuatu nak cakap dengannya.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我有话跟他说,马来语
50384,电视剧3 EP13,"Hari itu, saya yang salah.",马来语,那天是我不对,"Pada hari itu, saya yang salah.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那天是我不对,马来语
50385,电视剧3 EP13,Saya tak patut cakap begitu.,马来语,我不应该说那种话,Saya tidak sepatutnya berkata begitu.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我不应该说那种话,马来语
50386,电视剧3 EP13,Awak keluarlah dulu.,马来语,你 你先出来,"Awak, keluar dulu.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你 你先出来,马来语
50387,电视剧3 EP13,Tak mengapa.,马来语,那不见就不见,"Kalau tak nak jumpa, tak apalah.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那不见就不见,马来语
50388,电视剧3 EP13,Saya terus masuk dan tengok.,马来语,我进去看看总行吧,Biar saya masuk tengok.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我进去看看总行吧,马来语
50389,电视剧3 EP13,"Demikianlah. Malam nanti, saya tunggu awak di taman diraja.",马来语,那要不这样晚点晚点我在御花园等你,"Apa kata begini, nanti saya tunggu awak di Taman Diraja.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那要不这样晚点晚点我在御花园等你,马来语
50390,电视剧3 EP13,Saya akan tunggu awak.,马来语,那我等你来啊,"Kalau begitu, saya tunggu awak datang.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那我等你来啊,马来语
50391,电视剧3 EP13,"Jika awak tak pergi, habislah awak.",马来语,敢不去削你,"Berani tak pergi, aku pukul kau.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",敢不去削你,马来语
50392,电视剧3 EP13,Maharaja sedang menunggu awak.,马来语,皇上等你呢,Tuanku sedang menunggu awak.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",皇上等你呢,马来语
50393,电视剧3 EP13,Ini perkara bagus. Lekas pergi.,马来语,好事儿 快去吧,"Baguslah, cepat pergi!",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",好事儿 快去吧,马来语
50394,电视剧3 EP13,Wain teratai ini dihadiahkan jeneral.,马来语,这是将军送的荷花酒,Ini arak teratai yang dihadiahkan oleh Jeneral.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这是将军送的荷花酒,马来语
50395,电视剧3 EP13,Awak akan pergi atau tak?,马来语,我说你去不去啊,"Saya tanya, awak nak pergi atau tidak?",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我说你去不去啊,马来语
50396,电视剧3 EP13,"Jika awak tak pergi, saya akan pergi.",马来语,你不去 我去了,"Kalau awak tak pergi, saya akan pergi.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你不去 我去了,马来语
50397,电视剧3 EP13,Ada pembunuh upahan!,马来语,抓刺客 抓刺客,Tangkap pembunuh! Tangkap pembunuh!,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",抓刺客 抓刺客,马来语
50398,电视剧3 EP13,"Apa yang terjadi, tuanku?",马来语,你怎么了皇上,Kenapa dengan tuanku?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你怎么了皇上,马来语
50399,电视剧3 EP13,Maharaja dah mangkat.,马来语,皇上驾崩了,Tuanku telah mangkat.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",皇上驾崩了,马来语
50400,电视剧3 EP13,Tuanku akan selamat.,马来语,你会没事的,Awak akan baik-baik saja.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你会没事的,马来语
50401,电视剧3 EP13,Siapa yang suruh awak datang?,马来语,谁派你来的,Siapa yang hantar awak?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",谁派你来的,马来语
50402,电视剧3 EP13,"Kalau tak nak cakap, saya akan gantung awak pada pintu kota. Biarkan awak dijemur dan dihujani.",马来语,再不说话我就把你挂城门上经暴晒 历雨淋,"Kalau awak tak bercakap lagi, saya akan gantung awak di pintu kota, biar dijemur panas dan dibasahi hujan.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",再不说话我就把你挂城门上经暴晒 历雨淋,马来语
50403,电视剧3 EP13,"Pada siang hari, daging awak akan dimakan burung nasar. Malam hari pula, darah awak akan diminum serigala.",马来语,白天让秃鹫吃你的肉晚上就放狼喝你的血,"Siang hari biarkan burung nasar makan dagingmu, malam hari biarkan serigala minum darahmu.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",白天让秃鹫吃你的肉晚上就放狼喝你的血,马来语
50404,电视剧3 EP13,"Siang dan malam pun, ia takkan berhenti.",马来语,日日夜夜永不止息,Siang dan malam tanpa henti.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",日日夜夜永不止息,马来语
