编号,片段名,文本,语言,中文,label,音频路径,answer
52310,电视剧2 EP12,,英语,你在肖安城当街大闹恨不得让全天下的人都知道你与此案有关,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_19,200_00_39_24,040_chinesetts.wav",
52311,电视剧2 EP12,,马来语,你是不是以为这样很刺激很有趣啊,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_24,440_00_39_26,880_chinesetts.wav",
52312,电视剧2 EP12,,英语,你是不是以为这样很刺激很有趣啊,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_24,440_00_39_26,880_chinesetts.wav",
52313,电视剧2 EP12,,马来语,你知不知道此案盘根错节牵扯甚广,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_27,640_00_39_31,080_chinesetts.wav",
52314,电视剧2 EP12,,英语,你知不知道此案盘根错节牵扯甚广,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_27,640_00_39_31,080_chinesetts.wav",
52315,电视剧2 EP12,,马来语,昨夜是一门杀手明日就可能给你家人带来杀身灭族之祸,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_31,680_00_39_36,160_chinesetts.wav",
52316,电视剧2 EP12,,英语,昨夜是一门杀手明日就可能给你家人带来杀身灭族之祸,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_31,680_00_39_36,160_chinesetts.wav",
52317,电视剧2 EP12,,马来语,你光顾着自己查案的一腔热血将家人置于何地,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_40,760_00_39_45,160_chinesetts.wav",
52318,电视剧2 EP12,,英语,你光顾着自己查案的一腔热血将家人置于何地,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_40,760_00_39_45,160_chinesetts.wav",
52319,电视剧2 EP12,,马来语,我没想那么多,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_47,920_00_39_49,640_chinesetts.wav",
52320,电视剧2 EP12,,英语,我没想那么多,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_47,920_00_39_49,640_chinesetts.wav",
52321,电视剧2 EP12,,马来语,事已至此你的安危内卫府会加强防护,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_51,280_00_39_54,880_chinesetts.wav",
52322,电视剧2 EP12,,英语,事已至此你的安危内卫府会加强防护,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_51,280_00_39_54,880_chinesetts.wav",
52323,电视剧2 EP12,,马来语,你父母没有必要我会派人去看护的,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_55,360_00_39_58,040_chinesetts.wav",
52324,电视剧2 EP12,,英语,你父母没有必要我会派人去看护的,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_39_55,360_00_39_58,040_chinesetts.wav",
52325,电视剧2 EP12,,马来语,暗自自有妹妹拂回愁,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_00,800_00_40_02,400_chinesetts.wav",
52326,电视剧2 EP12,,英语,暗自自有妹妹拂回愁,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_00,800_00_40_02,400_chinesetts.wav",
52327,电视剧2 EP12,,马来语,在水落石出之前万不可再轻举妄动了,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_02,960_00_40_07,200_chinesetts.wav",
52328,电视剧2 EP12,,英语,在水落石出之前万不可再轻举妄动了,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_02,960_00_40_07,200_chinesetts.wav",
52329,电视剧2 EP12,,马来语,谢谢大格岭我就知道你不会不管我,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_07,600_00_40_10,320_chinesetts.wav",
52330,电视剧2 EP12,,英语,谢谢大格岭我就知道你不会不管我,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_07,600_00_40_10,320_chinesetts.wav",
52331,电视剧2 EP12,,马来语,你有锦绣坊六年前的订单,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_22,880_00_40_24,920_chinesetts.wav",
52332,电视剧2 EP12,,英语,你有锦绣坊六年前的订单,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_22,880_00_40_24,920_chinesetts.wav",
52333,电视剧2 EP12,,马来语,那你跟锦绣坊有什么关系,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_24,920_00_40_27,000_chinesetts.wav",
52334,电视剧2 EP12,,英语,那你跟锦绣坊有什么关系,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_24,920_00_40_27,000_chinesetts.wav",
52335,电视剧2 EP12,,马来语,我刚才说的话都白说了是吗,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_29,840_00_40_31,880_chinesetts.wav",
52336,电视剧2 EP12,,英语,我刚才说的话都白说了是吗,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_29,840_00_40_31,880_chinesetts.wav",
52337,电视剧2 EP12,,马来语,那证据我是给大格林的为什么要告诉你,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_35,920_00_40_38,640_chinesetts.wav",
52338,电视剧2 EP12,,英语,那证据我是给大格林的为什么要告诉你,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_35,920_00_40_38,640_chinesetts.wav",
52339,电视剧2 EP12,,马来语,不得对大格岭夫人无礼,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_40,080_00_40_41,680_chinesetts.wav",
52340,电视剧2 EP12,,英语,不得对大格岭夫人无礼,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_40,080_00_40_41,680_chinesetts.wav",
52341,电视剧2 EP12,,马来语,外面不是说所有想要嫁给大格岭的女子都会死于非命吗,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_53,000_00_40_56,680_chinesetts.wav",
52342,电视剧2 EP12,,英语,外面不是说所有想要嫁给大格岭的女子都会死于非命吗,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_40_53,000_00_40_56,680_chinesetts.wav",
52343,电视剧2 EP12,,马来语,云雀一直以为冥冥之中大格岭是在等我嫁给他,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_01,040_00_41_05,200_chinesetts.wav",
52344,电视剧2 EP12,,英语,云雀一直以为冥冥之中大格岭是在等我嫁给他,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_01,040_00_41_05,200_chinesetts.wav",
52345,电视剧2 EP12,,马来语,所以这些年我一直苦苦学习如何掌管府中事务如何做好当家中母如何煮饭算账铺床,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_07,240_00_41_15,720_chinesetts.wav",
52346,电视剧2 EP12,,英语,所以这些年我一直苦苦学习如何掌管府中事务如何做好当家中母如何煮饭算账铺床,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_07,240_00_41_15,720_chinesetts.wav",
52347,电视剧2 EP12,,马来语,我连做梦都在想嫁给大格林,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_21,720_00_41_24,080_chinesetts.wav",
52348,电视剧2 EP12,,英语,我连做梦都在想嫁给大格林,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_21,720_00_41_24,080_chinesetts.wav",
52349,电视剧2 EP12,,马来语,你你一定是疯了,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_30,640_00_41_32,320_chinesetts.wav",
52350,电视剧2 EP12,,英语,你你一定是疯了,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_30,640_00_41_32,320_chinesetts.wav",
52351,电视剧2 EP12,,马来语,夫人这事跟我们可没关系啊,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_32,320_00_41_34,240_chinesetts.wav",
52352,电视剧2 EP12,,英语,夫人这事跟我们可没关系啊,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_32,320_00_41_34,240_chinesetts.wav",
52353,电视剧2 EP12,,马来语,是这个女人,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_35,080_00_41_35,840_chinesetts.wav",
52354,电视剧2 EP12,,英语,是这个女人,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_35,080_00_41_35,840_chinesetts.wav",
52355,电视剧2 EP12,,马来语,他自己当街拦路喊冤,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_35,840_00_41_37,560_chinesetts.wav",
52356,电视剧2 EP12,,英语,他自己当街拦路喊冤,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_35,840_00_41_37,560_chinesetts.wav",
52357,电视剧2 EP12,,马来语,大格岭才把他给抓回来的,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_37,560_00_41_39,120_chinesetts.wav",
52358,电视剧2 EP12,,英语,大格岭才把他给抓回来的,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_37,560_00_41_39,120_chinesetts.wav",
52359,电视剧2 EP12,,马来语,你按什么好意思的,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_39,280_00_41_40,960_chinesetts.wav",
52360,电视剧2 EP12,,英语,你按什么好意思的,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_39,280_00_41_40,960_chinesetts.wav",
52361,电视剧2 EP12,,马来语,爱慕大格岭的女子在相安没有一万也有八千吧,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_41,280_00_41_45,400_chinesetts.wav",
52362,电视剧2 EP12,,英语,爱慕大格岭的女子在相安没有一万也有八千吧,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_41,280_00_41_45,400_chinesetts.wav",
52363,电视剧2 EP12,,马来语,这很正常啊,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_45,440_00_41_46,600_chinesetts.wav",
52364,电视剧2 EP12,,英语,这很正常啊,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_45,440_00_41_46,600_chinesetts.wav",
52365,电视剧2 EP12,,马来语,再说了反正我们也是,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_46,640_00_41_48,640_chinesetts.wav",
52366,电视剧2 EP12,,英语,再说了反正我们也是,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_46,640_00_41_48,640_chinesetts.wav",
52367,电视剧2 EP12,,马来语,若你提前看中心仪之人也是好事,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_54,400_00_41_57,640_chinesetts.wav",
52368,电视剧2 EP12,,英语,若你提前看中心仪之人也是好事,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_41_54,400_00_41_57,640_chinesetts.wav",
52369,电视剧2 EP12,,马来语,看来你已经想好了,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_42_03,080_00_42_04,560_chinesetts.wav",
52370,电视剧2 EP12,,英语,看来你已经想好了,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_42_03,080_00_42_04,560_chinesetts.wav",
52371,电视剧2 EP12,,马来语,那你之后打算怎么办,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_42_09,960_00_42_14,640_chinesetts.wav",
52372,电视剧2 EP12,,英语,那你之后打算怎么办,测试集a,"/alg_2025_audios_final/电视剧2 EP12/电视剧2 EP12_00_42_09,960_00_42_14,640_chinesetts.wav",
52373,电视剧2 EP13,,马来语,属下这就把这吩咐押入内务府十八层牢狱,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_13,080_00_02_16,440_chinesetts.wav",
52374,电视剧2 EP13,,英语,属下这就把这吩咐押入内务府十八层牢狱,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_13,080_00_02_16,440_chinesetts.wav",
52375,电视剧2 EP13,,马来语,谁说要当皇帝威风,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_17,280_00_02_18,800_chinesetts.wav",
52376,电视剧2 EP13,,英语,谁说要当皇帝威风,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_17,280_00_02_18,800_chinesetts.wav",
52377,电视剧2 EP13,,马来语,把云雀姑娘带回神府安置,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_23,000_00_02_27,039_chinesetts.wav",
52378,电视剧2 EP13,,英语,把云雀姑娘带回神府安置,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_23,000_00_02_27,039_chinesetts.wav",
52379,电视剧2 EP13,,马来语,云雀姑娘请我,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_35,480_00_02_37,600_chinesetts.wav",
52380,电视剧2 EP13,,英语,云雀姑娘请我,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_35,480_00_02_37,600_chinesetts.wav",
52381,电视剧2 EP13,,马来语,小姐神府的丫鬟求见,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_55,120_00_02_57,240_chinesetts.wav",
52382,电视剧2 EP13,,英语,小姐神府的丫鬟求见,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_02_55,120_00_02_57,240_chinesetts.wav",
52383,电视剧2 EP13,,马来语,夫人您快回府看看吧,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_00,560_00_03_02,640_chinesetts.wav",
52384,电视剧2 EP13,,英语,夫人您快回府看看吧,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_00,560_00_03_02,640_chinesetts.wav",
52385,电视剧2 EP13,,马来语,大格林早上一走那云雀便换了父母呀,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_02,640_00_03_05,560_chinesetts.wav",
52386,电视剧2 EP13,,英语,大格林早上一走那云雀便换了父母呀,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_02,640_00_03_05,560_chinesetts.wav",
52387,电视剧2 EP13,,马来语,您再不管管便要翻天了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_05,560_00_03_07,920_chinesetts.wav",
52388,电视剧2 EP13,,英语,您再不管管便要翻天了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_05,560_00_03_07,920_chinesetts.wav",
52389,电视剧2 EP13,,马来语,夫人你看他,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_15,040_00_03_16,480_chinesetts.wav",
52390,电视剧2 EP13,,英语,夫人你看他,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_15,040_00_03_16,480_chinesetts.wav",
52391,电视剧2 EP13,,马来语,全府上下都被他折腾半天了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_16,480_00_03_18,880_chinesetts.wav",
52392,电视剧2 EP13,,英语,全府上下都被他折腾半天了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_16,480_00_03_18,880_chinesetts.wav",
52393,电视剧2 EP13,,马来语,他连大格岭都能认错,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_19,240_00_03_20,920_chinesetts.wav",
52394,电视剧2 EP13,,英语,他连大格岭都能认错,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_19,240_00_03_20,920_chinesetts.wav",
52395,电视剧2 EP13,,马来语,大哥你看他可怜好心收留,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_21,240_00_03_23,280_chinesetts.wav",
52396,电视剧2 EP13,,英语,大哥你看他可怜好心收留,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_21,240_00_03_23,280_chinesetts.wav",
52397,电视剧2 EP13,,马来语,他倒好真把自己当主母了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_23,400_00_03_25,720_chinesetts.wav",
52398,电视剧2 EP13,,英语,他倒好真把自己当主母了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_23,400_00_03_25,720_chinesetts.wav",
52399,电视剧2 EP13,,马来语,还是要跟大哥灵符的相称为好,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_25,720_00_03_28,200_chinesetts.wav",
52400,电视剧2 EP13,,英语,还是要跟大哥灵符的相称为好,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_25,720_00_03_28,200_chinesetts.wav",
52401,电视剧2 EP13,,马来语,你们还是要多出去看看,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_28,680_00_03_30,560_chinesetts.wav",
52402,电视剧2 EP13,,英语,你们还是要多出去看看,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_28,680_00_03_30,560_chinesetts.wav",
52403,电视剧2 EP13,,马来语,这样出去做软垫的时候心中才有数,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_30,560_00_03_33,200_chinesetts.wav",
52404,电视剧2 EP13,,英语,这样出去做软垫的时候心中才有数,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_30,560_00_03_33,200_chinesetts.wav",
52405,电视剧2 EP13,,马来语,后院的草清理了吗大格岭交代的书架擦了吗,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_33,200_00_03_38,840_chinesetts.wav",
52406,电视剧2 EP13,,英语,后院的草清理了吗大格岭交代的书架擦了吗,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_33,200_00_03_38,840_chinesetts.wav",
52407,电视剧2 EP13,,马来语,那还不赶快去,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_40,200_00_03_41,760_chinesetts.wav",
52408,电视剧2 EP13,,英语,那还不赶快去,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_40,200_00_03_41,760_chinesetts.wav",
52409,电视剧2 EP13,,马来语,我吩咐他们布置全天,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_46,920_00_03_48,320_chinesetts.wav",
52410,电视剧2 EP13,,英语,我吩咐他们布置全天,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_46,920_00_03_48,320_chinesetts.wav",
52411,电视剧2 EP13,,马来语,就不算正事了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_48,320_00_03_49,520_chinesetts.wav",
52412,电视剧2 EP13,,英语,就不算正事了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_48,320_00_03_49,520_chinesetts.wav",
52413,电视剧2 EP13,,马来语,云雀姑娘您这是哪儿的话,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_49,520_00_03_52,720_chinesetts.wav",
52414,电视剧2 EP13,,英语,云雀姑娘您这是哪儿的话,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_49,520_00_03_52,720_chinesetts.wav",
52415,电视剧2 EP13,,马来语,您吩咐下人办事自然应当办好,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_54,600_00_03_57,600_chinesetts.wav",
52416,电视剧2 EP13,,英语,您吩咐下人办事自然应当办好,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_54,600_00_03_57,600_chinesetts.wav",
52417,电视剧2 EP13,,马来语,可是我们领的是神府的银子,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_57,600_00_04_01,480_chinesetts.wav",
52418,电视剧2 EP13,,英语,可是我们领的是神府的银子,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_03_57,600_00_04_01,480_chinesetts.wav",
52419,电视剧2 EP13,,马来语,为大阁领办事,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_01,600_00_04_03,360_chinesetts.wav",
52420,电视剧2 EP13,,英语,为大阁领办事,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_01,600_00_04_03,360_chinesetts.wav",
52421,电视剧2 EP13,,马来语,首先大格岭交代的事情我们要先安排好,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_03,400_00_04_08,520_chinesetts.wav",
52422,电视剧2 EP13,,英语,首先大格岭交代的事情我们要先安排好,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_03,400_00_04_08,520_chinesetts.wav",
52423,电视剧2 EP13,,马来语,那不知的事儿明日再说,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_12,080_00_04_13,760_chinesetts.wav",
52424,电视剧2 EP13,,英语,那不知的事儿明日再说,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_12,080_00_04_13,760_chinesetts.wav",
52425,电视剧2 EP13,,马来语,沈管家你把府中的账册整理整理给我一下,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_13,880_00_04_17,200_chinesetts.wav",
52426,电视剧2 EP13,,英语,沈管家你把府中的账册整理整理给我一下,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_13,880_00_04_17,200_chinesetts.wav",
52427,电视剧2 EP13,,马来语,我只好看一看,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_17,360_00_04_18,520_chinesetts.wav",
52428,电视剧2 EP13,,英语,我只好看一看,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_17,360_00_04_18,520_chinesetts.wav",
52429,电视剧2 EP13,,马来语,沈府的账册只有由府内的主母查看,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_20,440_00_04_25,200_chinesetts.wav",
52430,电视剧2 EP13,,英语,沈府的账册只有由府内的主母查看,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_20,440_00_04_25,200_chinesetts.wav",
52431,电视剧2 EP13,,马来语,夫人臣妾安康,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_27,800_00_04_30,560_chinesetts.wav",
52432,电视剧2 EP13,,英语,夫人臣妾安康,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_27,800_00_04_30,560_chinesetts.wav",
52433,电视剧2 EP13,,马来语,沈管家你今日为何,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_34,560_00_04_36,720_chinesetts.wav",
52434,电视剧2 EP13,,英语,沈管家你今日为何,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_34,560_00_04_36,720_chinesetts.wav",
52435,电视剧2 EP13,,马来语,夫人早晨忘了问候夫人,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_36,720_00_04_39,760_chinesetts.wav",
52436,电视剧2 EP13,,英语,夫人早晨忘了问候夫人,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_36,720_00_04_39,760_chinesetts.wav",
52437,电视剧2 EP13,,马来语,请夫人责罚,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_41,320_00_04_42,920_chinesetts.wav",
52438,电视剧2 EP13,,英语,请夫人责罚,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_41,320_00_04_42,920_chinesetts.wav",
52439,电视剧2 EP13,,马来语,依神父家规府内家仆必然要向夫人陈慕请安,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_44,600_00_04_51,120_chinesetts.wav",
52440,电视剧2 EP13,,英语,依神父家规府内家仆必然要向夫人陈慕请安,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_44,600_00_04_51,120_chinesetts.wav",
52441,电视剧2 EP13,,马来语,女眷也要向夫人施礼敬茶,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_51,560_00_04_55,640_chinesetts.wav",
52442,电视剧2 EP13,,英语,女眷也要向夫人施礼敬茶,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_51,560_00_04_55,640_chinesetts.wav",
52443,电视剧2 EP13,,马来语,我第一天进府中之后就牢记于心,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_55,960_00_04_59,880_chinesetts.wav",
52444,电视剧2 EP13,,英语,我第一天进府中之后就牢记于心,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_04_55,960_00_04_59,880_chinesetts.wav",
52445,电视剧2 EP13,,马来语,神符共有五礼数之,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_00,040_00_05_03,480_chinesetts.wav",
52446,电视剧2 EP13,,英语,神符共有五礼数之,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_00,040_00_05_03,480_chinesetts.wav",
52447,电视剧2 EP13,,马来语,轻视老奴失礼,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_03,600_00_05_06,080_chinesetts.wav",
52448,电视剧2 EP13,,英语,轻视老奴失礼,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_03,600_00_05_06,080_chinesetts.wav",
52449,电视剧2 EP13,,马来语,夫人就是把老奴逐出府外也是名正言顺啊,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_06,240_00_05_11,600_chinesetts.wav",
52450,电视剧2 EP13,,英语,夫人就是把老奴逐出府外也是名正言顺啊,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_06,240_00_05_11,600_chinesetts.wav",
52451,电视剧2 EP13,,马来语,说来说去不就是想让我给沈夫人敬茶吗,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_14,240_00_05_17,520_chinesetts.wav",
52452,电视剧2 EP13,,英语,说来说去不就是想让我给沈夫人敬茶吗,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_14,240_00_05_17,520_chinesetts.wav",
52453,电视剧2 EP13,,马来语,我进就是了,测试集a,"/alg_2025_audios_final/电视剧2 EP13/电视剧2 EP13_00_05_17,520_00_05_19,000_chinesetts.wav",
